Market-id,Market-name,Year,Month,Txn-count,Total Active Plastic,Total Active Basic,Active Accounts
US,United States,2019,1,6392426,2362956,1936849,1776926
GB,United Kingdom,2019,1,3775050,1476715,1167364,1019532
CA,Canada,2019,1,2431756,1063571,811886,676572
DE,Germany,2019,1,3003770,1185017,874551,802340
FR,France,2019,1,2533098,974981,799165,697961
AU,Australia,2019,1,2213769,906241,716396,596997
JP,Japan,2019,1,4263503,1677228,1280327,1174612
SG,Singapore,2019,1,1141808,486934,359361,313852
IN,India,2019,1,3068530,1221059,1000868,834057
BR,Brazil,2019,1,1975874,750395,593198,544218
MX,Mexico,2019,1,1451171,581471,443871,387660
AE,United Arab Emirates,2019,1,1028972,463539,342095,285079
IT,Italy,2019,1,1841501,658577,539817,495245
ES,Spain,2019,1,1593868,644009,509098,444627
US,United States,2019,2,6563190,2373450,1945451,1784817
GB,United Kingdom,2019,2,3845071,1474867,1165903,1018256
CA,Canada,2019,2,2536090,1062059,810732,675610
DE,Germany,2019,2,3017912,1186905,875945,803619
FR,France,2019,2,2661447,981998,804916,702983
AU,Australia,2019,2,2220254,915210,723486,602905
JP,Japan,2019,2,4465361,1684483,1285865,1179693
SG,Singapore,2019,2,1155402,487923,360091,314490
IN,India,2019,2,3204435,1224210,1003451,836209
BR,Brazil,2019,2,2033123,753333,595520,546349
MX,Mexico,2019,2,1484964,586272,447536,390861
AE,United Arab Emirates,2019,2,1076153,469394,346416,288680
IT,Italy,2019,2,1851029,662475,543012,498176
ES,Spain,2019,2,1675130,644989,509873,445304
US,United States,2019,3,6956988,2372101,1944345,1783803
GB,United Kingdom,2019,3,3880130,1471839,1163509,1016165
CA,Canada,2019,3,2677099,1064988,812968,677473
DE,Germany,2019,3,3070307,1195129,882014,809187
FR,France,2019,3,2769418,990567,811940,709118
AU,Australia,2019,3,2299604,920920,728000,606667
JP,Japan,2019,3,4566912,1682603,1284430,1178376
SG,Singapore,2019,3,1217468,487797,359998,314409
IN,India,2019,3,3265833,1231046,1009054,840878
BR,Brazil,2019,3,2163021,760486,601175,551537
MX,Mexico,2019,3,1502650,592859,452564,395252
AE,United Arab Emirates,2019,3,1141716,474215,349974,291645
IT,Italy,2019,3,1879856,662781,543263,498406
ES,Spain,2019,3,1746997,643656,508819,444383
US,United States,2019,4,7222435,2368850,1941680,1781358
GB,United Kingdom,2019,4,4022998,1474967,1165982,1018325
CA,Canada,2019,4,2734994,1073613,819552,682960
DE,Germany,2019,4,3227144,1205239,889475,816032
FR,France,2019,4,2794964,995594,816061,712717
AU,Australia,2019,4,2436699,921646,728574,607145
JP,Japan,2019,4,4599857,1676880,1280061,1174368
SG,Singapore,2019,4,1285959,489132,360983,315269
IN,India,2019,4,3350924,1244797,1020325,850271
BR,Brazil,2019,4,2257824,769975,608676,558418
MX,Mexico,2019,4,1560207,598120,456580,398760
AE,United Arab Emirates,2019,4,1172974,476484,351649,293041
IT,Italy,2019,4,1972711,660708,541564,496848
ES,Spain,2019,4,1765559,643332,508563,444160
US,United States,2019,5,7235862,2375510,1947139,1786366
GB,United Kingdom,2019,5,4223978,1485974,1174683,1025924
CA,Canada,2019,5,2743139,1083954,827446,689538
DE,Germany,2019,5,3362363,1211034,893752,819956
FR,France,2019,5,2831598,995225,815758,712452
AU,Australia,2019,5,2507415,920260,727478,606232
JP,Japan,2019,5,4732251,1676182,1279528,1173879
SG,Singapore,2019,5,1304932,493197,363983,317889
IN,India,2019,5,3526590,1262421,1034771,862309
BR,Brazil,2019,5,2271884,777764,614833,564067
MX,Mexico,2019,5,1643382,600156,458134,400117
AE,United Arab Emirates,2019,5,1180648,477051,352067,293389
IT,Italy,2019,5,2056660,659675,540717,496071
ES,Spain,2019,5,1787355,646443,511022,446307
US,United States,2019,6,7271558,2394875,1963012,1800928
GB,United Kingdom,2019,6,4274274,1499339,1185248,1035151
CA,Canada,2019,6,2802559,1090432,832391,693659
DE,Germany,2019,6,3348309,1210263,893183,819434
FR,France,2019,6,2925908,992580,813590,710559
AU,Australia,2019,6,2481047,921630,728561,607134
JP,Japan,2019,6,4899174,1684795,1286103,1179911
SG,Singapore,2019,6,1296387,498763,368091,321477
IN,India,2019,6,3654699,1277310,1046975,872479
BR,Brazil,2019,6,2288377,781369,617683,566682
MX,Mexico,2019,6,1670789,600040,458046,400040
AE,United Arab Emirates,2019,6,1209339,478366,353038,294198
IT,Italy,2019,6,2049742,662162,542756,497941
ES,Spain,2019,6,1846562,652264,515624,450327
US,United States,2019,7,7429928,2418067,1982022,1818369
GB,United Kingdom,2019,7,4163058,1507347,1191579,1040680
CA,Canada,2019,7,2866075,1091005,832828,694023
DE,Germany,2019,7,3272397,1206726,890573,817039
FR,France,2019,7,2960003,992906,813857,710792
AU,Australia,2019,7,2462799,928130,733700,611417
JP,Japan,2019,7,4874147,1698454,1296530,1189477
SG,Singapore,2019,7,1310724,503216,371377,324347
IN,India,2019,7,3613900,1285360,1053574,877978
BR,Brazil,2019,7,2345636,782177,618322,567268
MX,Mexico,2019,7,1632650,600863,458674,400589
AE,United Arab Emirates,2019,7,1242411,482246,355901,296584
IT,Italy,2019,7,2000532,667418,547064,501894
ES,Spain,2019,7,1871839,657581,519827,453997
US,United States,2019,8,7414929,2432646,1993972,1829332
GB,United Kingdom,2019,8,4088661,1507184,1191450,1040568
CA,Canada,2019,8,2814643,1089080,831359,692799
DE,Germany,2019,8,3264041,1206801,890628,817090
FR,France,2019,8,2862693,998752,818649,714977
AU,Australia,2019,8,2487524,937438,741058,617548
JP,Japan,2019,8,4681435,1708232,1303994,1196325
SG,Singapore,2019,8,1326268,504954,372660,325467
IN,India,2019,8,3519787,1288826,1056415,880346
BR,Brazil,2019,8,2353285,784214,619932,568745
MX,Mexico,2019,8,1605789,604903,461758,403282
AE,United Arab Emirates,2019,8,1227169,488177,360278,300232
IT,Italy,2019,8,1991577,672144,550938,505448
ES,Spain,2019,8,1813568,659622,521440,455406
US,United States,2019,9,7112911,2434050,1995123,1830388
GB,United Kingdom,2019,9,4095977,1503576,1188598,1038077
CA,Canada,2019,9,2689442,1090415,832378,693648
DE,Germany,2019,9,3260448,1213584,895634,821683
FR,France,2019,9,2751235,1007599,825901,721311
AU,Australia,2019,9,2460975,944631,746744,622287
JP,Japan,2019,9,4562210,1708746,1304386,1196684
SG,Singapore,2019,9,1293502,504882,372607,325421
IN,India,2019,9,3516365,1294329,1060925,884104
BR,Brazil,2019,9,2268293,790454,624865,573271
MX,Mexico,2019,9,1612978,611498,466792,407679
AE,United Arab Emirates,2019,9,1177338,493761,364399,303666
IT,Italy,2019,9,1989811,673514,552061,506478
ES,Spain,2019,9,1742203,658627,520654,454720
US,United States,2019,10,6856586,2429884,1991708,1827255
GB,United Kingdom,2019,10,4032281,1504468,1189303,1038693
CA,Canada,2019,10,2633620,1097819,838030,698358
DE,Germany,2019,10,3155780,1224012,903330,828743
FR,France,2019,10,2732193,1014157,831276,726005
AU,Australia,2019,10,2357903,946715,748391,623659
JP,Japan,2019,10,4561260,1703131,1300100,1192752
SG,Singapore,2019,10,1238014,505602,373138,325885
IN,India,2019,10,3535832,1306794,1071143,892619
BR,Brazil,2019,10,2192194,800054,632454,580233
MX,Mexico,2019,10,1595242,617639,471480,411773
AE,United Arab Emirates,2019,10,1155782,496907,366721,305601
IT,Italy,2019,10,1927963,671787,550645,505179
ES,Spain,2019,10,1729163,657652,519883,454046
US,United States,2019,11,6881452,2432990,1994254,1829591
GB,United Kingdom,2019,11,3880001,1513728,1196623,1045086
CA,Canada,2019,11,2658694,1108538,846212,705177
DE,Germany,2019,11,3031665,1231649,908966,833914
FR,France,2019,11,2740661,1015217,832145,726764
AU,Australia,2019,11,2292272,945403,747354,622795
JP,Japan,2019,11,4508673,1700198,1297861,1190698
SG,Singapore,2019,11,1225310,509026,375665,328092
IN,India,2019,11,3469592,1324861,1085952,904960
BR,Brazil,2019,11,2206173,809081,639590,586780
MX,Mexico,2019,11,1540775,620719,473831,413826
AE,United Arab Emirates,2019,11,1171538,497777,367363,306136
IT,Italy,2019,11,1850480,670080,549246,503895
ES,Spain,2019,11,1737399,659756,521546,455499
US,United States,2019,12,8025401,2449639,2007901,1842111
GB,United Kingdom,2019,12,4394226,1527542,1207543,1054623
CA,Canada,2019,12,3055582,1116750,852481,710401
DE,Germany,2019,12,3487726,1232611,909676,834565
FR,France,2019,12,3096335,1012637,830030,724917
AU,Australia,2019,12,2679686,945571,747487,622906
JP,Japan,2019,12,5036886,1706330,1302542,1194993
SG,Singapore,2019,12,1442221,514605,379782,331687
IN,India,2019,12,3910818,1342035,1100029,916691
BR,Brazil,2019,12,2585740,814116,643570,590431
MX,Mexico,2019,12,1747806,620948,474006,413979
AE,United Arab Emirates,2019,12,1354211,498660,368015,306679
